image,folio,side,scribe,mixed,source
KB129A10__389.jpg,195,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__390.jpg,196,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__391.jpg,196,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__392.jpg,197,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__393.jpg,197,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__394.jpg,198,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__395.jpg,198,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__396.jpg,199,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__397.jpg,199,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__398.jpg,200,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__399.jpg,200,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__400.jpg,201,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__401.jpg,201,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__402.jpg,202,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__403.jpg,202,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__404.jpg,203,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__405.jpg,203,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__406.jpg,204,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__407.jpg,204,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__408.jpg,205,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__409.jpg,205,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__410.jpg,206,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__411.jpg,206,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__412.jpg,207,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__413.jpg,207,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__414.jpg,208,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__415.jpg,208,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__416.jpg,209,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__417.jpg,209,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__418.jpg,210,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__419.jpg,210,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__420.jpg,211,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__421.jpg,211,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__422.jpg,212,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__423.jpg,212,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__424.jpg,213,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__425.jpg,213,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__426.jpg,214,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__427.jpg,214,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__428.jpg,215,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__429.jpg,215,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__430.jpg,216,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__431.jpg,216,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__432.jpg,217,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__433.jpg,217,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__434.jpg,218,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__435.jpg,218,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__436.jpg,219,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__437.jpg,219,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__438.jpg,220,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__439.jpg,220,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__440.jpg,221,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__441.jpg,221,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__442.jpg,222,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__443.jpg,222,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__444.jpg,223,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__445.jpg,223,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__446.jpg,224,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__447.jpg,224,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__448.jpg,225,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__449.jpg,225,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__450.jpg,226,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__451.jpg,226,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__452.jpg,227,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__453.jpg,227,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__454.jpg,228,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__455.jpg,228,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__456.jpg,229,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__457.jpg,229,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__458.jpg,230,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__459.jpg,230,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__460.jpg,231,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__461.jpg,231,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__462.jpg,232,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__463.jpg,232,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__464.jpg,233,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__465.jpg,233,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__466.jpg,234,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__467.jpg,234,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__468.jpg,235,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__469.jpg,235,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__470.jpg,236,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__471.jpg,236,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__472.jpg,237,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__473.jpg,237,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__474.jpg,238,r,B,0,spl2018scribes-xml/verse-interp
